n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
10000,baseline_memory_rss_mib,10,10,647.0640625,23.25322634097808,613.59375,678.421875,0.03593651338190039
10000,peak_memory_increase_mib,10,10,20.7875,19.326664899264753,1.0625,51.25,0.9297253108485749
25000,nodes_full_graph,10,10,33339.7,119.13489086838591,33174.0,33531.0,0.0035733642134868015
25000,edges_full_graph,10,10,56693.5,223.41553213686822,56311.0,57040.0,0.003940760971484707
25000,density_full_graph,10,10,0.00010201477124272343,6.607446551690977e-07,0.00010096465567298061,0.00010299677095227393,0.006476950809378281
25000,n_components_full_graph,10,10,11794.2,67.37754324204269,11711.0,11938.0,0.005712769263031209
25000,lcc_nodes,10,10,19837.6,79.06424954146821,19713.0,19983.0,0.003985575348906532
25000,lcc_edges,10,10,54801.1,220.3973431983446,54523.0,55118.0,0.0040217685995052035
25000,lcc_fraction_nodes,10,10,0.5950179351781635,0.0024143948617251347,0.5904386985177895,0.5975062791532113,0.004057684178884799
25000,modularity,10,10,0.3391535823580741,0.0062823757074963954,0.32880621470566085,0.35047698296428736,0.01852368966241242
25000,n_communities,10,10,4.8,0.6324555320336759,4.0,6.0,0.13176156917368248
25000,mean_degree,10,10,3.400980614574178,0.013599831932580601,3.3853449047150397,3.424431886497535,0.003998797251093234
25000,mean_weighted_degree,10,10,5.19875517810083,0.023924423062357057,5.165727237481733,5.242599626213299,0.004601952244863538
25000,clustering_coefficient,10,10,0.2110547733576537,0.0023818129322781207,0.2077837054260947,0.21444591606215743,0.011285283409543632
25000,backbone_nodes,10,10,173.7,4.4234225060089685,168.0,181.0,0.025465875106557102
25000,backbone_edges,10,10,241.7,4.001388647846033,236.0,246.0,0.016555186792908703
25000,backbone_components,10,10,1.0,0.0,1.0,1.0,0.0
25000,backbone_density,10,10,0.016134473118837415,0.000668640774991578,0.015083798882681564,0.016823495865412035,0.041441748364929414
25000,backbone_lcc_nodes,10,10,173.7,4.4234225060089685,168.0,181.0,0.025465875106557102
25000,backbone_lcc_edges,10,10,241.7,4.001388647846033,236.0,246.0,0.016555186792908703
25000,backbone_lcc_fraction_nodes,10,10,1.0,0.0,1.0,1.0,0.0
25000,backbone_mean_degree,10,10,2.783883505651995,0.05345196683153808,2.7,2.86046511627907,0.019200504160111917
25000,backbone_mean_weighted_degree,10,10,156.73240810110514,4.379462906270323,150.5635359116022,162.3452380952381,0.027942293232968218
25000,backbone_empty,10,10,0.0,0.0,0.0,0.0,
25000,vocabulary_size,10,10,33339.7,119.13489086838591,33174.0,33531.0,0.0035733642134868015
25000,runtime_total_seconds,10,10,53.83628932510037,2.565029199661713,51.5179135829967,60.33076479198644,0.04764498504293843
25000,runtime_embedding_seconds,10,10,46.8554306207021,2.575094144512837,44.545778833009535,53.32958975000656,0.05495828573977687
25000,runtime_graph_construction_seconds,10,10,4.396917233505519,0.11829821897177902,4.262120250001317,4.708182834001491,0.026904809139985494
25000,runtime_metrics_seconds,10,10,2.557424266403541,0.05334638853842268,2.510814208013471,2.657351166009903,0.020859420644132202
25000,peak_memory_rss_mib,10,10,705.64375,47.590421178363485,640.515625,771.484375,0.06744256032645862
25000,baseline_memory_rss_mib,10,10,680.859375,34.2999037671755,636.28125,739.671875,0.050377368699925006
25000,peak_memory_increase_mib,10,10,24.784375,30.190169467316313,1.25,98.5,1.2181130033465162
52946,nodes_full_graph,1,1,56635.0,,56635.0,56635.0,
52946,edges_full_graph,1,1,109022.0,,109022.0,109022.0,
52946,density_full_graph,1,1,6.798013132227201e-05,,6.798013132227201e-05,6.798013132227201e-05,
52946,n_components_full_graph,1,1,19856.0,,19856.0,19856.0,
52946,lcc_nodes,1,1,34316.0,,34316.0,34316.0,
52946,lcc_edges,1,1,106297.0,,106297.0,106297.0,
52946,lcc_fraction_nodes,1,1,0.6059150701862805,,0.6059150701862805,0.6059150701862805,
52946,modularity,1,1,0.3560443171946043,,0.3560443171946043,0.3560443171946043,
52946,n_communities,1,1,7.0,,7.0,7.0,
52946,mean_degree,1,1,3.8499867573055537,,3.8499867573055537,3.8499867573055537,
52946,mean_weighted_degree,1,1,6.47991524675554,,6.47991524675554,6.47991524675554,
52946,clustering_coefficient,1,1,0.20864639735849,,0.20864639735849,0.20864639735849,
