keyword,community,degree,weighted_degree
educational context,4,1,33
exploratory studies,4,1,33
engaging students,4,1,33
mathematical reasoning,4,1,33
experiments,4,1,33
steam,4,1,33
environmental technology,4,1,33
disability,1,1,33
intelligent robots,10,1,32
spatial visualization,13,1,32
flow visualization,13,1,32
social sciences computing,4,1,32
augmented reality applications,13,1,32
engineering principles,4,1,32
e-learning platforms,4,1,32
virtual environments,13,1,31
senior high school students,4,1,31
condition,4,1,31
attention deficit disorder with hyperactivity,5,1,31
biological science disciplines,25,1,31
serious games,4,1,31
values,15,1,31
physical education and training,15,1,31
biomedicine,25,1,31
disease severity,1,1,30
mathematics literacy,4,1,30
clustering algorithms,13,1,30
case control study,2,1,30
international space stations,34,1,30
mathematics skills,4,1,30
math education,4,1,30
robot learning,10,1,30
"data interpretation, statistical",1,1,30
space stations,34,1,30
computer aided software engineering,4,1,30
professional competence,15,1,30
quality education,4,1,30
engineering education research,4,1,29
decisions makings,13,1,29
technology integration,4,1,29
math/math education,44,1,29
basic concepts,4,1,29
student interactions,4,1,29
autism spectrum disorder,1,1,29
educational games,4,1,29
lesson,15,1,29
descriptive studies,4,1,29
professional careers,4,1,29
engineering skills,4,1,29
treatment outcome,1,1,29
learning difficulties,4,1,29
how,15,1,29
research and development management,4,1,29
online,15,1,28
bridges,35,1,28
intrinsic motivation,15,1,28
summer bridge program,35,1,28
income,15,1,28
programming education,4,1,28
goals,15,1,28
diagnosis,1,1,28
first year,15,1,28
case,15,1,28
pedagogics,15,1,28
"education, distance",15,1,28
quantitative research,4,1,28
standardized tests,4,1,27
research activities,4,1,27
analysis of variance,2,1,27
4th,17,1,27
quality,15,1,27
introductory programming,4,1,27
mobile computing,8,1,27
intervention study,1,1,27
social interaction,1,1,27
grade point average,4,1,27
educational approach,4,1,27
music,1,1,27
birth weight,1,1,27
introductory programming course,4,1,27
graph theory,13,1,27
remote laboratories,4,1,27
regression analysis,2,1,27
fuzzy mathematics,36,1,26
programming course,4,1,26
perspectives,15,1,26
introduction to engineering,4,1,26
hearing impairment,37,1,26
deafness,37,1,26
integral calculus,4,1,26
artificial,1,1,26
design thinking,4,1,26
north america,15,1,26
traditional engineerings,4,1,26
personal experience,1,1,26
medical information,1,1,26
health services needs and demand,16,1,26
engineering department,4,1,26
