method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
llama_3.1_8b,191,1175,22,5,0.08,0.45454545454545453,0.8,0.5797101449275363,0.743270993232727,0.8301411271095276
llama_3.1_8b,192,1176,30,5,0.16666666666666666,0.3333333333333333,1.0,0.5,0.8236963748931885,0.7841968536376953
llama_3.1_8b,193,1177,25,5,0.2,0.28,1.0,0.43750000000000006,0.7649599313735962,0.5060038566589355
llama_3.1_8b,194,1178,5,5,0.25,0.8,0.6,0.6857142857142857,0.7226867079734802,0.8526639342308044
llama_3.1_8b,195,1179,8,5,0.3,0.75,0.6,0.6666666666666665,0.7859979867935181,0.9071182608604431
llama_3.1_8b,196,118,21,5,0.08333333333333333,0.19047619047619047,0.8,0.3076923076923077,0.6870988011360168,0.6137968897819519
llama_3.1_8b,197,1180,5,5,0.1111111111111111,0.4,0.2,0.26666666666666666,0.5761128067970276,0.8473885655403137
llama_3.1_8b,198,1181,9,5,0.07692307692307693,0.4444444444444444,0.4,0.4210526315789474,0.6123687028884888,0.6732213497161865
llama_3.1_8b,199,1182,11,5,0.0,0.36363636363636365,0.8,0.5000000000000001,0.6915742754936218,0.8256843090057373
llama_3.1_8b,200,1183,6,5,0.2222222222222222,0.3333333333333333,0.4,0.3636363636363636,0.6459623575210571,0.7823214530944824
llama_3.1_8b,201,1184,7,5,0.09090909090909091,0.5714285714285714,0.8,0.6666666666666666,0.7512903213500977,0.858501672744751
llama_3.1_8b,202,1185,16,5,0.23529411764705882,0.3125,0.8,0.449438202247191,0.7224496006965637,0.7433221936225891
llama_3.1_8b,203,1186,9,4,0.08333333333333333,0.3333333333333333,0.75,0.46153846153846156,0.6723889112472534,0.6922365427017212
llama_3.1_8b,204,1187,7,5,0.09090909090909091,0.2857142857142857,0.4,0.3333333333333333,0.7237082123756409,0.8497958183288574
llama_3.1_8b,205,1188,12,5,0.0625,0.3333333333333333,0.6,0.42857142857142855,0.6637085676193237,0.6628608703613281
llama_3.1_8b,206,1189,5,5,0.25,0.6,0.4,0.48,0.7526587247848511,0.8814035058021545
llama_3.1_8b,207,119,12,5,0.21428571428571427,0.5833333333333334,0.8,0.674698795180723,0.7590571641921997,0.8241866827011108
llama_3.1_8b,208,1190,8,5,0.18181818181818182,0.5,0.6,0.5454545454545454,0.7208247184753418,0.8822761178016663
llama_3.1_8b,209,1191,10,5,0.15384615384615385,0.5,1.0,0.6666666666666666,0.7925984263420105,0.8882931470870972
llama_3.1_8b,210,1192,7,5,0.5,0.8571428571428571,0.8,0.8275862068965518,0.8770277500152588,0.9154499769210815
llama_3.1_8b,211,1193,15,5,0.25,0.4666666666666667,1.0,0.6363636363636364,0.8307375907897949,0.737339198589325
llama_3.1_8b,212,1194,7,5,0.7142857142857143,0.8571428571428571,1.0,0.923076923076923,0.9404679536819458,0.9530816078186035
llama_3.1_8b,213,1195,11,5,0.14285714285714285,0.45454545454545453,0.8,0.5797101449275363,0.750141978263855,0.8558533191680908
