method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
tfidf,178,1163,6,5,0.1,0.6666666666666666,0.8,0.7272727272727272,0.7569770216941833,0.8102223873138428
tfidf,179,1164,6,5,0.0,0.3333333333333333,0.6,0.42857142857142855,0.6166529655456543,0.6408748626708984
tfidf,180,1165,5,5,0.25,0.6,0.6,0.6,0.7254666090011597,0.8571804761886597
tfidf,181,1166,5,5,0.0,0.6,0.6,0.6,0.6955057382583618,0.7783400416374207
tfidf,182,1167,11,5,0.0,0.45454545454545453,0.4,0.4255319148936171,0.6636537909507751,0.6946160197257996
tfidf,183,1168,13,5,0.0,0.3076923076923077,1.0,0.47058823529411764,0.683675229549408,0.7885311841964722
tfidf,184,1169,9,5,0.0,0.2222222222222222,0.6,0.32432432432432434,0.6411305665969849,0.7228606939315796
tfidf,185,117,13,5,0.0,0.0,0.0,0.0,0.48366183042526245,0.4982248842716217
tfidf,186,1170,15,5,0.1111111111111111,0.4,0.8,0.5333333333333333,0.7441644668579102,0.6686895489692688
tfidf,187,1171,23,5,0.07692307692307693,0.13043478260869565,0.8,0.22429906542056074,0.6914551258087158,0.816627562046051
tfidf,188,1172,18,5,0.21052631578947367,0.4444444444444444,1.0,0.6153846153846153,0.8132804036140442,0.7696437239646912
tfidf,189,1173,15,5,0.05263157894736842,0.2,0.6,0.3,0.6237770318984985,0.5917447209358215
tfidf,190,1174,15,5,0.0,0.2,0.4,0.26666666666666666,0.623030424118042,0.7311421632766724
tfidf,191,1175,22,5,0.038461538461538464,0.22727272727272727,0.6,0.32967032967032966,0.6541165113449097,0.6849402785301208
tfidf,192,1176,30,5,0.06060606060606061,0.2,0.8,0.32000000000000006,0.7009049654006958,0.6112179756164551
tfidf,193,1177,25,5,0.034482758620689655,0.24,0.6,0.34285714285714286,0.6207177042961121,0.42471837997436523
tfidf,194,1178,5,5,0.1111111111111111,0.6,0.6,0.6,0.7578412294387817,0.8015792965888977
tfidf,195,1179,8,5,0.0,0.625,1.0,0.7692307692307693,0.73210608959198,0.8946279883384705
