K,topic,npmi,top_words
50,22,0.12484052825444783,"['study', 'data', 'qualitative', 'analysis', 'findings', 'interviews', 'research', 'participants', 'using', 'case']"
50,23,0.11267184657072976,"['faculty', 'students', 'research', 'experiences', 'graduate', 'community', 'undergraduate', 'support', 'programs', 'diversity']"
50,24,0.19237448767432042,"['school', 'students', 'high', 'high school', 'school students', 'middle', 'schools', 'program', 'middle school', 'elementary']"
50,25,0.13256063574527133,"['students', 'college', 'success', 'academic', 'student', 'american', 'study', 'retention', 'degree', 'year']"
50,26,0.32544474493777237,"['gender', 'women', 'female', 'girls', 'male', 'differences', 'career', 'female students', 'boys', 'gap']"
50,27,0.1756950911074544,"['teachers', 'teacher', 'teaching', 'classroom', 'professional', 'development', 'practices', 'professional development', 'practice', 'learning']"
50,28,0.049109215987495555,"['research', 'education', 'space', 'scientific', 'international', 'project', 'national', 'years', 'gifted', 'field']"
50,29,0.09941404387761088,"['students', 'course', 'student', 'courses', 'class', 'feedback', 'performance', 'time', 'semester', 'classroom']"
50,30,0.1851794809274258,"['teachers', 'teacher', 'knowledge', 'teaching', 'teacher education', 'education', 'mathematics teachers', 'content', 'prospective', 'preservice']"
50,31,0.25526381761523526,"['group', 'experimental', 'control', 'test', 'intervention', 'groups', 'post', 'study', 'effect', 'control group']"
50,32,0.04692733518405443,"['education', 'mathematics education', 'research', 'theoretical', 'theory', 'social', 'perspective', 'paper', 'different', 'article']"
50,33,0.10840608174724442,"['years', 'age', 'academic', 'physical', 'school', 'inf', 'study', 'performance', '10', 'scores']"
50,34,0.21109840103380814,"['literacy', 'resources', 'learners', 'south', 'rural', 'africa', 'african', 'financial', 'indigenous', 'south africa']"
50,35,0.1787690625381644,"['self', 'efficacy', 'attitudes', 'self efficacy', 'students', 'motivation', 'positive', 'factors', 'beliefs', 'study']"
50,36,0.08872862156566155,"['language', 'english', 'students', 'disabilities', 'writing', 'special', 'reading', 'standards', 'education', 'numeracy']"
50,37,0.04994617473954918,"['teaching', 'education', 'mathematical', 'history', 'new', 'university', 'time', 'modern', 'role', 'philosophy']"
50,38,0.11573613884910426,"['systems', 'theory', 'mathematical', 'concepts', 'equations', 'linear', 'algebra', 'methods', 'functions', 'applications']"
