source,target,weight,sim_count,sim_mean
science education,teacher preparation,34,34,0.5645196437835693
science education,teacher professional development,24,24,0.5442156195640564
science education,teacher training,56,56,0.5605398416519165
science education,technology education,56,56,0.6758469343185425
science teachers,stem education,28,28,0.4727711081504822
science teaching,stem education,21,21,0.4567089080810547
secondary education,academic performance,26,26,0.5672438740730286
secondary education,stem education,44,44,0.609209418296814
secondary education,teacher training,21,21,0.5420877933502197
secondary schools,stem education,29,29,0.5145220797637413
self-efficacy,motivation,27,27,0.5515795946121216
space education,stem education,20,20,0.4202808141708374
special education,learning disabilities,33,33,0.6884304285049438
statistics,probability,30,30,0.6162422299385071
stem education,blended learning,20,20,0.433709979057312
stem education,career interest,21,21,0.4464561939239502
stem education,early childhood,31,31,0.41487622261047363
stem education,educational robotics,55,55,0.41924333572387695
stem education,interdisciplinary education,28,28,0.4874839782714844
stem education,k-12 education,43,43,0.5869208574295044
stem education,middle school students,41,41,0.4037565290927887
stem education,mobile learning,25,25,0.40271463990211487
stem education,online learning,56,56,0.40572333335876465
stem education,research experience,22,22,0.4595028758049011
stem education,science learning,27,27,0.48087334632873535
stem education,stem careers,20,20,0.7971382141113281
stem education,student engagement,70,70,0.42485567927360535
stem education,teacher professional development,73,73,0.5181308388710022
stem education,university students,26,26,0.45435830950737
stem education,workforce development,21,21,0.504252016544342
student attitudes,stem education,23,23,0.40548044443130493
student learning,higher education,21,21,0.6016682982444763
student learning,stem education,52,52,0.5149247646331787
student motivation,stem education,34,34,0.433460533618927
student success,stem education,45,45,0.4587230682373047
students,learning,20,20,0.6417527198791504
teacher development,professional growth,21,21,0.44811075925827026
teacher development,stem education,44,44,0.5624439120292664
teacher education,early childhood,20,20,0.46464234590530396
teacher education,elementary teachers,21,21,0.8814496994018555
teacher education,lesson study,39,39,0.6842188239097595
teacher education,mathematics teachers,46,46,0.6328237056732178
teacher education,mathematics teaching,82,82,0.5628457069396973
teacher education,online learning,22,22,0.4903416037559509
teacher education,pedagogical knowledge,30,30,0.6460132598876953
teacher education,pedagogy,64,64,0.8211975693702698
teacher education,pre-service teachers,137,137,0.7447332143783569
teacher education,primary education,20,20,0.7261561155319214
teacher education,prospective teachers,76,76,0.8697234392166138
teacher education,statistics education,21,21,0.459207683801651
teacher education,stem education,87,87,0.5449453592300415
teacher education,student teachers,24,24,0.8399468660354614
teacher education,teacher educators,36,36,0.9479111433029175
